Country Name,ISO 2,ISO 3,ISO 2,Country Name,Name that should be used for Excel map charts,GNR Region,Income Group,LDC,SIDS,DAC Member,Dev Country,Fragility,2018 Population,FCAS,GNR Subregion,Resource-Rich,PRCR,CBLB,Poverty rate above 30%,Poverty rate below 2%
Republic of the Congo,CG,COG,CG,Republic of the Congo,Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
Congo (Brazzaville),CG,COG,CG,Congo (Brazzaville),Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
"Congo, (Brazzaville)",CG,COG,CG,"Congo, (Brazzaville)",Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
Congo-Brazzaville,CG,COG,CG,Congo-Brazzaville,Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
"Congo, Rep",CG,COG,CG,"Congo, Rep",Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
"Congo, Rep.",CG,COG,CG,"Congo, Rep.",Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
Congo Rep.,CG,COG,CG,Congo Rep.,Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
"Congo, Republic of",CG,COG,CG,"Congo, Republic of",Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
Republic of Congo,CG,COG,CG,Republic of Congo,Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
Congo,CG,COG,CG,Congo,Republic of the Congo,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,5244363,,Middle Africa,Resource-rich,Non PRCR,1,1,0
Democratic Republic of the Congo,CD,COD,CD,Democratic Republic of the Congo,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Democratic Republic of the Congo (DRC),CD,COD,CD,Democratic Republic of the Congo (DRC),Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Democratic Republic of Congo,CD,COD,CD,Democratic Republic of Congo,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Democratic Rep. of the Congo,CD,COD,CD,Democratic Rep. of the Congo,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Democratic Republic Congo,CD,COD,CD,Democratic Republic Congo,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Dem. Rep. of the Congo,CD,COD,CD,Dem. Rep. of the Congo,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Dem. Rep. Congo,CD,COD,CD,Dem. Rep. Congo,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
DR Congo,CD,COD,CD,DR Congo,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
DRC,CD,COD,CD,DRC,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
D.R.C.,CD,COD,CD,D.R.C.,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Congo (Kinshasa),CD,COD,CD,Congo (Kinshasa),Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
"Congo, (Kinshasa)",CD,COD,CD,"Congo, (Kinshasa)",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Congo-Kinshasa,CD,COD,CD,Congo-Kinshasa,Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
"Congo, The Democratic Republic of the",CD,COD,CD,"Congo, The Democratic Republic of the",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
"Congo, Democratic Republic of",CD,COD,CD,"Congo, Democratic Republic of",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
"Congo, Democratic Republic",CD,COD,CD,"Congo, Democratic Republic",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
"Congo, Democratic Rep. of",CD,COD,CD,"Congo, Democratic Rep. of",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
"Congo, Democratic Rep.",CD,COD,CD,"Congo, Democratic Rep.",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
"Congo, Dem. Rep. of",CD,COD,CD,"Congo, Dem. Rep. of",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
"Congo, Dem. Rep.",CD,COD,CD,"Congo, Dem. Rep.",Democratic Republic of the Congo,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,84068091,,Middle Africa,Resource-rich,PRCR,1,1,0
Cook Islands,CK,COK,CK,Cook Islands,,Oceania,,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,,,Polynesia,Non resource-rich,Non PRCR,0,,
Costa Rica,CR,CRI,CR,Costa Rica,Costa Rica,Latin America and the Caribbean,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,4999441,,Central America,Non resource-rich,Non PRCR,0,0,1
Côte d'Ivoire,CI,CIV,CI,Côte d'Ivoire,Ivory Coast,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25069229,,Western Africa,Resource-rich,PRCR,0,0,0
Cote d'Ivoire,CI,CIV,CI,Cote d'Ivoire,Ivory Coast,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25069229,,Western Africa,Resource-rich,PRCR,0,0,0
Côte-d'Ivoire,CI,CIV,CI,Côte-d'Ivoire,Ivory Coast,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25069229,,Western Africa,Resource-rich,PRCR,0,0,0
Ivory Coast,CI,CIV,CI,Ivory Coast,Ivory Coast,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,25069229,,Western Africa,Resource-rich,PRCR,0,0,0
Croatia,HR,HRV,HR,Croatia,Croatia,Europe,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,4089400,,Southern Europe,Non resource-rich,Non PRCR,0,0,1
Cuba,CU,CUB,CU,Cuba,Cuba,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,11338138,,Caribbean,Non resource-rich,Non PRCR,0,,
Curaçao,CW,CUW,CW,Curaçao,,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,159849,,Caribbean,Non resource-rich,Non PRCR,0,,
Curacao,CW,CUW,CW,Curacao,,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,159849,,Caribbean,Non resource-rich,Non PRCR,0,,
Cyprus,CY,CYP,CY,Cyprus,Cyprus,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,1189265,,Western Asia,Non resource-rich,Non PRCR,0,0,1
Czech Republic,CZ,CZE,CZ,Czech Republic,Czechia,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,10625695,FCAS,Eastern Europe,Non resource-rich,Non PRCR,0,0,1
Czechia,CZ,CZE,CZ,Czechia,Czechia,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,10625695,FCAS,Eastern Europe,Non resource-rich,Non PRCR,0,0,1
Denmark,DK,DNK,DK,Denmark,Denmark,Europe,HIC,Non LDC,Non SIDS,DAC,Not Developing,Not Fragile,5797446,,Northern Europe,Non resource-rich,Non PRCR,0,0,1
Djibouti,DJ,DJI,DJ,Djibouti,Djibouti,Africa,LMIC,LDC,Non SIDS,Non DAC,Developing Country,Fragile,958920,,Eastern Africa,Non resource-rich,PRCR,0,0,0
Dominica,DM,DMA,DM,Dominica,Dominica,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,71625,,Caribbean,Non resource-rich,Non PRCR,0,,
Dominican Republic,DO,DOM,DO,Dominican Republic,Dominican Republic,Latin America and the Caribbean,UMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,10627165,,Caribbean,Non resource-rich,Non PRCR,0,0,1
Ecuador,EC,ECU,EC,Ecuador,Ecuador,Latin America and the Caribbean,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,17084357,,South America,Non resource-rich,Non PRCR,0,0,0
Egypt,EG,EGY,EG,Egypt,Egypt,Africa,LMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Fragile,98423595,,Northern Africa,Non resource-rich,Non PRCR,0,0,1
